PropertyID,house_number,road,city,city_district,state,state_district,zip,building,unit,level,entrance,po_box,neighborhood
60928348,704,south street,philadelphia,,pa,,19147,,,,,,
53425840,912-16,walnut st,philadelphia,,pa,,19107,,,,,,
1475800,1724,sansom st,philadelphia,,pa,,19103,,,,,,
91099754,1136,arch st,philadelphia,,pa,,19107,,,,,,
58020978,7,north 2nd street,philadelphia,,pa,,19106,,,,,,
27392086,619,south 2nd st.,philadelphia,,pa,,19147,,,,,,
64888494,709,south 4th st,philadelphia,,pa,,19147,,,,,,
90125604,529,bainbridge st.,philadelphia,,pa,,19147,,,,,,
30653458,527,south street,philadelphia,,pa,,19147,,,,,,
23576210,1726,east passyunk avenue,philadelphia,,pa,,19148,,,,,,
